myModel,x,R
30.0,0.0,60.00000000000001
30.0,0.0,230.00000000000003
30.0,1.0,500.00000000000006
30.0,0.0,230.00000000000003
30.0,0.0,60.00000000000001
30.0,0.0,60.00000000000001
30.0,0.0,230.00000000000003
30.0,1.0,500.00000000000006
30.0,0.0,230.00000000000003
30.0,0.0,60.00000000000001
30.0,0.0,60.00000000000001
30.0,0.0,230.00000000000003
30.0,1.0,500.00000000000006
30.0,0.0,230.00000000000003
30.0,0.0,120.00000000000001
30.0,0.0,230.00000000000003
30.0,1.0,500.00000000000006
30.0,0.0,230.00000000000003
30.0,0.0,120.00000000000001
30.0,0.0,230.00000000000003
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,560.0
30.0,0.0,460.00000000000006
30.0,1.0,560.0
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,290.00000000000006
30.0,0.0,290.00000000000006
30.0,1.0,500.00000000000006
30.0,0.0,230.00000000000003
30.0,0.0,60.00000000000001
30.0,0.0,0.0
